date,value,unit,source,published_at,vintage,indicator_code,indicator_name
2019-08-01,308959753,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2019-08-16,351820605,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2019-09-01,399790851,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2019-09-16,439398577,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2019-10-01,474603493,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2019-10-16,512225407,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2019-11-01,545006184,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2019-11-16,564897942,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2019-12-01,575777896,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2019-12-16,578353403,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2020-01-01,579086444,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2020-01-16,579214045,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2020-02-01,579300846,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2020-02-16,579471266,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2020-03-01,579929722,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2020-03-16,582885596,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2020-04-01,590360866,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2020-04-16,22510291,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2020-05-01,60702094,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2020-05-16,103040754,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
